zone_id,cx,cy,cz,gp1,gp2,gp3,gp4,gp5,gp6,gp7,gp8
26,275.428102034,-377.91371664,558.685169222,21978,12704,12462,22009,,,,
27,1788.35318638,-129.736309722,456.28459734,22252,18162,18388,51,,,,
28,632.84330279,-1101.42802025,379.688168059,19269,18891,25784,22320,,,,
29,31.7525942463,-1592.59183784,13.2159711323,14839,13921,14806,14040,,,,
30,609.138062187,-730.780135506,304.333297265,20101,9682,9789,9598,,,,
31,682.068178911,-970.170493909,306.354742786,18915,22340,9085,19522,,,,
32,503.953312373,-1480.60388392,24.2919670788,16957,10308,10879,10784,,,,
33,747.364919464,-13.9412277181,494.776304196,20762,8602,8687,20763,,,,
34,1761.75095121,-870.644612245,429.566412768,16596,829,694,850,,,,
35,1712.00992689,-684.721057396,543.381144656,29529,993,1182,994,,,,
36,1081.61949658,-89.0322377379,591.409891575,21109,6225,6026,6033,,,,
37,1454.24497673,-1362.36692992,475.679155686,14953,3122,14919,3015,,,,
38,1448.26565738,-705.801702386,450.860586707,29730,3247,3011,3019,,,,
39,1654.84285547,-1212.89406237,495.30591369,15185,1467,1432,1270,,,,
40,569.995626801,-1435.18662438,570.347771813,18503,9907,10090,9918,,,,
41,1502.46679518,-517.447685641,544.010137229,19542,2679,2668,2539,,,,
42,1338.9736949,-182.755703945,587.603157637,21459,21462,4244,4157,,,,
43,1800.71697482,-910.069507476,519.343284077,303,295,16294,679,,,,
44,491.524585657,-519.795556394,384.085429641,10679,21001,30152,10606,,,,
45,28.8273861181,-1581.19878988,226.247248575,18208,14818,14076,18441,,,,
46,697.260550022,-1282.94333711,480.956897207,23377,17625,17103,17484,,,,
47,1585.10447568,-1150.95734381,401.636479683,22750,15537,15543,15474,,,,
48,1560.87170991,-60.326683962,594.729577178,29551,2014,2062,2227,,,,
49,39.9121414876,-1560.88928318,386.663206681,22299,19451,19194,18682,,,,
50,1252.85672038,-921.111271938,10.2033380056,17149,4561,4970,4869,,,,
51,163.673850508,-1098.14045638,538.418742546,30172,13519,13594,13408,,,,
52,1581.3713625,-828.565660129,398.821394454,22183,2003,17072,17222,,,,
53,1442.99719575,-1605.19456218,523.628610046,3374,3149,3016,3123,,,,
54,944.557369188,-1240.91685683,23.669369487,16813,16811,7447,7168,,,,
55,1328.71823891,-691.067274601,396.996025667,4187,18564,4348,4235,,,,
56,1465.00468757,-8.37579819768,462.41921993,19325,2832,3213,2874,,,,
57,1618.75033158,-1191.04510622,472.701992934,15177,15397,1786,15254,,,,
58,12.1221496615,-1235.56087185,555.223528733,20177,20164,14712,14713,,,,
59,389.177700008,-602.015571283,336.55826051,20807,11489,11534,20636,,,,
60,59.1309546144,-181.930475322,18.7639364972,20025,13898,14343,13984,,,,
61,16.2788927467,-723.328325541,534.200644802,21167,14191,14519,14225,,,,
62,1739.2341378,-128.273141641,497.706637231,26237,23811,23808,30083,,,,
63,980.309416584,-1513.93504873,60.3754797433,16084,7016,6754,16216,,,,
64,1235.26038926,-361.028131002,479.692774386,28930,28770,27161,29719,,,,
65,1791.93002799,-982.25772429,306.175638321,30390,320,325,15961,,,,
66,852.545766672,-557.198964987,328.090122036,7809,7976,7957,8029,,,,
67,1113.45859019,-658.579464707,361.156444749,5917,5802,5760,5872,,,,
68,281.70253179,-1601.67702156,491.644460511,18259,12534,12392,18499,,,,
69,105.042619152,-1304.40385686,49.2240156713,18015,13664,14013,13758,,,,
70,849.463729155,-487.793184684,299.717088149,26248,22422,24541,24621,,,,
71,251.097624019,-731.444205974,470.437013354,21611,12820,12840,12881,,,,
72,238.788198952,-8.38725932711,433.940968959,21188,12689,12989,13099,,,,
73,1216.20581579,-995.005631509,312.790915445,16703,5082,5081,16816,,,,
74,1360.67470194,-1047.26636354,36.2164021752,4222,3967,16415,4098,,,,
75,961.857326196,-1474.28547025,450.579664884,15887,15968,7231,29539,,,,
76,1172.10231361,-1600.0597365,444.47408235,15634,5500,5359,15557,,,,
77,1172.25669271,-1051.7712238,144.300055405,17147,5568,5248,5386,,,,
78,192.274320518,-1372.01561056,563.862559662,13333,22449,30646,20719,,,,
79,1780.54215438,-627.540064569,497.880180842,22239,17591,673,17932,,,,
80,185.291992188,-658.29296875,539.592987061,13382,13404,13363,13420,,,,
81,311.203125,-515.08984375,546.935821533,12267,12268,12221,12220,,,,
82,72.4053836213,-1261.05244615,68.0864334729,18015,18440,14013,30290,,,,
83,133.729014434,-1606.08475415,514.330342538,13752,13671,13673,13595,,,,
84,1008.20432592,-818.064749448,27.4221428518,17553,7023,22219,6547,,,,
85,1292.89618596,-1293.33003739,334.183601449,22792,15576,30145,30378,,,,
86,1602.58002581,-1459.95066166,419.33576388,15000,14964,1720,14963,,,,
87,1394.01202866,-112.758386924,37.707408227,17582,17583,3649,4019,,,,
88,1662.96629685,-38.8159242051,98.7714004262,18147,1799,1140,17395,,,,
89,1796.39422567,-16.1307097992,394.934485466,18385,717,6,20,,,,
90,1158.53262934,-76.6182375061,565.61468421,24978,21107,21106,24916,,,,
91,1782.92138622,-1410.93688909,481.611073342,22063,14980,15203,30205,,,,
92,255.378127315,-543.591387275,557.833665165,12753,12754,12717,12940,,,,
93,306.960412023,-1187.60362743,95.4106412226,18183,12107,12411,18410,,,,
94,981.212940101,-859.344148908,260.857174239,18312,6845,6995,18748,,,,
95,1475.84773396,-1415.05077808,233.717550418,15531,2987,2754,2719,,,,
96,1065.47695466,-201.541517612,598.695328644,30035,6245,6351,6165,,,,
97,1300.52397924,-630.921811369,419.321262701,22341,4469,4538,4397,,,,
98,233.721423574,-1469.32212959,538.809837039,20188,19961,12952,20189,,,,
99,1313.05094797,-1524.82795875,533.338965554,15046,4264,4436,4361,,,,
100,1604.86004397,-259.274512897,572.044071316,20270,1663,1668,1867,,,,
101,1354.33627719,-1353.76172619,284.06103267,15522,3945,4186,15525,,,,
102,713.943760727,-1087.07854274,34.3751674691,9040,30693,17416,8782,,,,
103,119.928166188,-1586.92656435,347.330686346,18445,18210,13757,18444,,,,
104,1464.92817048,-954.960191935,261.576575927,2871,2713,17034,3045,,,,
105,911.745272912,-1578.73622647,104.575388722,15801,7683,7578,7630,,,,
106,406.16510225,-934.491494501,340.682831524,24853,20967,20968,24844,,,,
107,1592.54032843,-1523.92211722,502.924860088,14867,1882,1762,14854,,,,
108,286.397460938,-723.2578125,430.633300781,12464,12476,12489,12425,,,,
109,1444.79585848,-705.180037587,444.584161871,29730,3247,19078,29804,,,,
110,214.563139649,-421.094695245,561.044524944,21953,13118,13259,13030,,,,
111,642.350582671,-234.899020164,489.068535535,29574,21860,25264,26140,,,,
112,47.4806949176,-863.890273429,336.241626458,20386,20140,20179,20180,,,,
113,521.58961991,-1110.15318739,461.635721092,18969,19230,10273,19400,,,,
