gp_id,x,y,z,ux,uy,uz,u_mag
5807,1116.99416115,-1613.6171875,44.007301125,0.00722129618036,0.0,-0.0115895031214,0.0136551712229
5808,1116.95135583,-555.492275229,418.22912177,-0.0363013498403,-0.10815344012,-0.0477591446565,0.123676556018
5809,1116.93829673,-1348.63537676,0.0,0.0,0.0,0.0,0.0
5810,1116.8580619,-884.201738552,287.828826096,-0.0312077418232,-0.051216533304,-0.0417305832744,0.0730650259276
5811,1116.65234375,-584.0390625,401.82800293,-0.0408463195099,-0.110900558144,-0.03500998763,0.123260110531
5812,1116.4792781,-485.357824801,0.0,0.0,0.0,0.0,0.0
5813,1116.20703125,-897.90625,302.879150391,0.0729252331261,0.525293797064,0.870037900069,1.01892963958
5814,1116.20703125,-930.046875,303.319824219,0.355440517532,1.1945662656,1.63737177375,2.05774460269
5815,1116.20703125,-1443.4375,516.14465332,0.94021188079,3.25701829097,-2.33612775307,4.11699640602
5816,1116.20703125,-1469.203125,540.678100586,0.600425514541,2.49602746608,-2.80408862207,3.80178601586
5817,1116.20619105,-992.089757753,266.511647079,0.398639653534,1.38600082181,0.238735352913,1.4618161376
5818,1116.13671875,-1495.703125,0.0,0.0,0.0,0.0,0.0
5819,1115.64399452,-1354.02724342,428.862006608,1.65703402954,4.24734087636,-1.29797677187,4.74029640374
5820,1115.05237602,-294.461828078,568.46562753,-0.0188918593747,-0.0239193209848,-0.244142370159,0.246037666169
5821,1115.04430101,-70.2112414959,597.161246615,-0.0180340797246,-0.0034128067304,-0.316463684473,0.316995487147
5822,1115.03060283,-1468.63327664,453.508226598,0.815903667944,2.9745007744,-2.03318475846,3.6942108649
5823,1115.01171875,-975.5,304.505981445,0.715276014018,1.88601404137,0.960714120683,2.23419792368
5824,1115.01171875,-1385.671875,457.254272461,1.42147670161,3.97577973124,-1.77055735724,4.5784597672
5825,1115.01171875,-1411.2265625,484.55090332,1.26594627722,3.73517608523,-2.04209090883,4.44120430114
5826,1115.01171875,-1425.40625,514.094726563,1.03796240395,3.56123440011,-2.07096099369,4.24836860947
5827,1114.46399933,-1436.42957522,113.939677348,0.0288885125509,0.0932792836747,-0.142459776447,0.17271467461
5828,1114.3807353,-712.72735536,0.0,0.0,0.0,0.0,0.0
5829,1114.0859995,-1313.9954292,0.0,0.0,0.0,0.0,0.0
5830,1114.0827644,-790.514371497,198.966690684,-0.0377220602231,-0.0577267728663,-0.0509134628838,0.0857176460004
5831,1113.9921875,-1107.59375,0.0,0.0,0.0,0.0,0.0
5832,1113.58956811,-1387.96016686,259.861975331,0.133323971909,0.77245322028,-0.449207679735,0.903463778211
5833,1113.49092432,-1309.5171056,358.600124491,1.04171759465,3.68642259811,-0.348683357002,3.84661763142
5834,1113.20464673,-866.245445331,302.780994871,-0.0335097077832,-0.0579762204003,-0.0395195009248,0.0777556017337
5835,1113.19451516,-1356.77630457,353.345831508,0.785904046636,3.00015650265,-0.896485773918,3.22835421752
5836,1112.90271064,-1613.6171875,493.726321885,0.230333984879,0.0,-2.69088810671,2.70072815133
5837,1112.81932923,-353.597543121,0.0,0.0,0.0,0.0,0.0
5838,1112.73132666,-1002.92562467,241.880601157,0.221591388407,0.980832218105,0.0398499957089,1.00634119743
5839,1112.51358069,-751.351644389,332.420574012,-0.0431574564885,-0.0928913667881,-0.0379524659738,0.109232603868
5840,1112.30918175,-1382.86757648,0.0,0.0,0.0,0.0,0.0
5841,1112.17613414,-1186.78534598,0.0,0.0,0.0,0.0,0.0
5842,1112.13294037,-1514.14867251,542.950175956,0.142374047772,2.08416484822,-3.3217202311,3.92400799919
5843,1112.10039601,-228.709793393,600.964011086,-0.0186652804727,-0.00666097732449,-0.266820006996,0.267554998921
5844,1111.66733688,-1165.22662969,346.054979167,0.300737037069,2.48973540565,0.609797520236,2.58090646311
5845,1111.58203125,-1294.359375,374.351928711,1.37676122193,4.39293101786,0.140258340139,4.60575583285
5846,1111.58203125,-1296.671875,374.359008789,1.37372852221,4.37542299196,0.0460149173916,4.58623743213
5847,1111.58203125,-1298.984375,374.594116211,1.43202311481,4.38677746501,-0.199339024634,4.61890060248
5848,1111.55003877,0.0,505.988064957,-0.0111426711865,0.0,-0.330260571927,0.33044848992
5849,1111.40977617,-1586.6659629,524.505463452,-0.0144691416578,0.590990519475,-2.79086159765,2.85278593789
5850,1111.40131764,-1487.29518217,424.328615239,0.555397659923,2.31703208798,-1.59974352139,2.86989260977
5851,1111.16015625,-208.9140625,597.875,-0.0184102074398,-0.00679764352474,-0.275704146532,0.276401736807
5852,1111.16015625,-248.3984375,602.207641602,-0.019122184292,-0.00786336365698,-0.255007237356,0.255844057043
5853,1111.16015625,-259.34375,594.667236328,-0.0189580108399,-0.0108312005064,-0.253631945233,0.25456999965
5854,1111.16015625,-279.2109375,578.749023438,-0.0182137780798,-0.0164882107769,-0.253804594028,0.254990930733
5855,1111.16015625,-306.1640625,554.858886719,-0.0185802663456,-0.0309831591559,-0.238971356837,0.241686763885
5856,1111.16015625,-322.53125,553.76159668,-0.0191118317151,-0.0332998144585,-0.226998677764,0.230222803955
5857,1111.16015625,-336.375,549.913085938,-0.0201847752817,-0.037086315641,-0.216656481272,0.220732532351
5858,1111.16015625,-402.4453125,509.792236328,-0.0263278812732,-0.0660423275872,-0.163407011353,0.178203809513
5859,1111.16015625,-449.6171875,455.721191406,-0.03400358917,-0.0995261220392,-0.115120775459,0.155931029583
5860,1111.16015625,-525.6796875,431.519775391,-0.0313380491752,-0.104118091262,-0.0592703547361,0.123837091393
5861,1111.16015625,-571.890625,401.297241211,-0.0403200331303,-0.113421783048,-0.040147879989,0.126893885625
5862,1111.16015625,-590.1171875,401.522583008,-0.0410957198918,-0.111151192892,-0.0283759938243,0.121855007695
5863,1111.16015625,-869.5234375,302.644775391,-0.0341332792703,-0.0593919261574,-0.0367106660111,0.0777184318255
5864,1110.9050954,-24.0075902434,600.036166883,-0.0183135619923,-0.00138378675715,-0.315540922533,0.316074951889
5865,1110.45032618,-617.357601242,378.275312664,-0.0449756421258,-0.117637731834,-0.0294167481964,0.129332089638
5866,1110.40011794,-1249.03144631,0.0,0.0,0.0,0.0,0.0
5867,1110.36107059,-1006.77664483,317.932911456,0.87233260707,2.16500538645,0.701589111461,2.4373017421
5868,1110.14725536,0.0,578.645985977,-0.01642782179,0.0,-0.325492713515,0.325907011094
5869,1110.1328125,-885.0234375,302.890869141,0.0778512619794,0.297938235669,0.635312776326,0.706010152213
5870,1109.9427093,-1445.66783232,0.0,0.0,0.0,0.0,0.0
5871,1109.83203125,-634.703125,386.807739258,-0.0448328805876,-0.11879017932,-0.0282845863903,0.130081173549
5872,1109.80169901,-668.94428396,360.5020119,-0.0468302227976,-0.116393533651,-0.0334228893586,0.129836874486
5873,1109.42007594,-1280.635501,0.0,0.0,0.0,0.0,0.0
5874,1109.38622251,-1075.18127261,75.6587760934,0.0503741228112,0.249946361938,-0.198532279068,0.323149813441
5875,1109.35085967,0.0,533.419264708,-0.0128227889829,0.0,-0.330559217593,0.330807829794
5876,1108.73589283,-606.554225056,393.164898781,-0.0433667962234,-0.114082293627,-0.0241222081607,0.12440791639
5877,1108.56462594,-1511.53548524,385.426341606,0.254739868375,1.27496605854,-1.04867999021,1.67037737437
5878,1108.5232951,-1613.6171875,437.808255561,0.137047765387,0.0,-1.93024633766,1.93510542712
